Portfolio,Cost (M/yr),$\Pr(\text{foothold})$,Blast radius,$\Pr(\text{EHR})$,$\Pr(\text{clin. outage})$,Dwell med. (h),Records (k),Mean loss (M),95\% CI,P95 loss (M),ALE (M/yr)
P0 uncontrolled,0.00,0.976,9.10,0.838,0.902,51.8,920.7,62.45,"[62.22, 62.68]",122.26,93.67
P1 typical,0.44,0.829,2.91,0.175,0.362,42.3,198.5,7.65,"[7.57, 7.73]",35.80,11.47
P2 hardened,1.18,0.572,0.90,0.009,0.050,33.7,24.7,0.80,"[0.78, 0.82]",4.63,1.20
P3 zero trust,1.68,0.421,0.53,0.001,0.011,31.2,8.7,0.28,"[0.27, 0.29]",0.99,0.42
P4 upper bound,1.95,0.334,0.39,0.000,0.005,30.7,5.4,0.17,"[0.16, 0.17]",0.58,0.25
