key,label,coverage,mean_loss,delta,lo,hi,p,cliff,delta_pct,lo_pct,hi_pct,cost,avoided_per_cost,p_adj
edr,Endpoint detection and response,0.75,26282604.672744542,-36163555.86353355,-36617097.64896449,-35705517.009471625,0.0,-0.5513597625,-57.911576232976465,-58.637868740852035,-57.17808221168139,176321.8173821122,307.64958415635914,0.0
mfa,Phishing-resistant MFA,0.75,26284669.678529415,-36161490.85774868,-36643172.554643124,-35677085.093808055,0.0,-0.5566471749999999,-57.9082693750894,-58.679624559712174,-57.132551925400534,142413.77557785987,380.87773508236165,0.0
siem,Centralised monitoring and response (SIEM/SOC),0.7,30497719.967636466,-31948440.568641625,-32352783.665811144,-31552049.907957815,0.0,-0.48874897500000003,-51.161577099814146,-51.80908383793396,-50.526805230287394,253318.09345317638,189.1797786715165,0.0
backup,Immutable / offline backup,0.85,34464242.26114668,-27981918.27513141,-28296042.90995437,-27664009.907579266,0.0,-0.45058856249999996,-44.809669697587445,-45.31270244151486,-44.30057776171501,140525.0014352351,298.68619095543295,0.0
seg,Network segmentation,0.55,41617977.76723944,-20828182.76903866,-21172477.876040876,-20491343.53765884,0.0,-0.3231567,-33.3538244628163,-33.905171581751176,-32.814417030098106,214156.30655776334,145.88537996256093,0.0
awareness,Security culture and awareness programme,0.65,44280147.94078502,-18166012.59549307,-18545405.34283822,-17784592.31247148,0.0,-0.2815292,-29.090679778366084,-29.698231538293328,-28.479881164414465,53107.595257087065,513.09080671664,0.0
patch,Vulnerability and patch management,0.7,44924548.473392755,-17521612.062885344,-17911772.213978413,-17134385.18339607,0.0,-0.267826025,-28.05874998945078,-28.683544448777717,-27.43865281107532,197711.68269516208,132.93305552839308,0.0
