Portfolio,E-mail,Remote access,Vendor gateway,Corp. endpoints,Identity,Clinical endpoints,EHR core,PACS,Lab / LIS,Pharmacy,IoMT,Billing,Backup / DR
P0 uncontrolled,0.7594,0.7545,0.3431,0.8741,0.7847,0.8379,0.8376,0.7427,0.689,0.5643,0.6584,0.6282,0.6245
P1 typical,0.4434,0.492,0.2304,0.4023,0.1884,0.2994,0.175,0.1274,0.163,0.061,0.109,0.1412,0.0823
P2 hardened,0.2286,0.2728,0.1451,0.1013,0.0153,0.0491,0.0087,0.0048,0.0354,0.0013,0.0046,0.03,0.0037
P3 zero trust,0.1645,0.1799,0.1043,0.0406,0.0032,0.0127,0.0008,0.0004,0.0143,0.0001,0.0005,0.0121,0.0006
P4 upper bound,0.1197,0.1356,0.092,0.0206,0.0008,0.0062,0.0002,0.0001,0.0096,0.0,0.0001,0.0076,0.0002
