key,label,coverage,mean_loss,delta,lo,hi,p,cliff,delta_pct,lo_pct,hi_pct,ehr_delta,cdi_pct,cost_saved,loss_per_cost,p_adj
mfa,Phishing-resistant MFA,0.75,1855904.656767118,1055728.1624486274,1002402.6259302646,1108573.7726772367,0.0,0.267996875,131.9369126617234,125.27269084353814,138.54115692581138,0.026139999999999997,153.04428085240494,142413.77557785995,7.413104232121445,0.0
edr,Endpoint detection and response,0.75,1714795.1680123743,914618.6736938832,867187.6709976814,961893.8349890802,2.6007175863540986e-203,0.17662253749999998,114.30211711890671,108.37454950938842,120.21020885002673,0.023439999999999996,193.34843881904047,176321.81738211215,5.187212151470662,1.560430551812459e-202
siem,Centralised monitoring and response (SIEM/SOC),0.7,1516372.605650887,716196.1113323958,676269.3754147028,757559.5066435202,1.266811196649679e-52,0.08686690000000001,89.50476756285862,84.51502639935461,94.67405154018333,0.01625,178.18262007976378,253318.09345317644,2.8272599938258187,2.533622393299358e-52
seg,Network segmentation,0.55,1477949.292500675,677772.7981821841,638622.0860274129,718740.4620024117,6.624643167579059e-55,0.090559225,84.70291279418826,79.81015320517837,89.822741245925,0.01602,115.25138603706213,214156.30655776337,3.1648509870026715,1.9873929502737177e-54
awareness,Security culture and awareness programme,0.65,1129375.497628326,329199.0033098352,303233.25316858885,355243.13448091614,5.769136425217087e-143,0.14921893749999998,41.14079901712353,37.89579615517851,44.39559734674238,0.00608,56.80199536282957,53107.595257087145,6.198717936977273,2.8845682126085436e-142
patch,Vulnerability and patch management,0.7,1097114.2357040038,296937.74138551287,268535.85596753407,324227.8559909252,2.094171067569167e-69,0.10225555000000001,37.109030756822506,33.55957815234821,40.519542662530924,0.008270000000000001,50.639807471271816,197711.68269516202,1.5018725112129092,8.376684270276668e-69
backup,Immutable / offline backup,0.85,977661.9438524798,177485.449533989,164637.87270494466,191069.32432262792,1.6567733263805795e-07,0.032547774999999994,22.180787712984884,20.575194831880996,23.87839753845324,0.0002999999999999999,103.45677033713297,140525.00143523514,1.2630168846914271,1.6567733263805795e-07
