model,roc_auc,pr_auc,best_f1,recall_at_fpr,precision_at_recall50,brier,alerts_per_day,n_train,n_test,fold
LogReg,0.8508842214836072,0.2415219551101938,0.3740122914837577,0.06134969325153374,0.2978187919463087,0.13322917253084704,2.161212121212121,39600,39600,-1
RandomForest,0.8580030714067378,0.27567845032233557,0.3730361709901352,0.12222746578574799,0.2924944812362031,0.08070818431159762,2.1963636363636363,39600,39600,-1
HistGB,0.8752927879557764,0.3306244280721855,0.41040782432183065,0.1500707881075979,0.34651847008826414,0.046993304963404495,1.853939393939394,39600,39600,-1
MLP,0.8724837510561745,0.32874071581272857,0.41046207497820403,0.14346389806512505,0.3432642487046632,0.050285031860804304,1.8715151515151516,39600,39600,-1
